dtRef;idCustomer;Name;qtdeRecencia;freqDias;freqTransacoes;qtdListaPresença;qtdChatMessage;qtdTrocaPontos;qtdResgatarPonei;qtdPresençaStreak;pctListaPresença;pctChatMessage;pctTrocaPontos;pctResgatarPonei;pctPresençaStreak;qtdePontosGanhos;qtdePontosGastos;qtdePontosSaldo;avgRecorrencia;flActive
2024-03-31;000ff655-fa9f-4baa-a108-47f581ec52a1;cajuuh;2.0;11;188;10;175;1;1;1;0.05319148936170213;0.9308510638297872;0.005319148936170213;0.005319148936170213;0.005319148936170213;1275;-1000;275;2.5;1
2024-04-05;000ff655-fa9f-4baa-a108-47f581ec52a1;cajuuh;1.0;12;192;12;177;1;1;1;0.0625;0.921875;0.005208333333333333;0.005208333333333333;0.005208333333333333;1377;-1000;377;1.4545454545454546;1
2024-03-03;0097ab76-4637-4ece-8ebc-ab6abd61d662;losmundissas;24.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;0
2024-03-08;0097ab76-4637-4ece-8ebc-ab6abd61d662;losmundissas;29.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;0
2024-04-18;00a6d4c8-38e5-4e92-981e-4e4ac5084546;cecisssssss;1.0;3;5;3;2;0;0;0;0.6;0.4;0.0;0.0;0.0;152;0;152;1.0;1
2024-04-21;00a6d4c8-38e5-4e92-981e-4e4ac5084546;cecisssssss;2.0;5;9;5;3;0;0;1;0.5555555555555556;0.3333333333333333;0.0;0.0;0.1111111111111111;353;0;353;1.0;1
2024-04-22;00f9cc87-c956-4b27-92e2-c96c5774083e;wafeer_pidao;20.0;1;3;1;2;0;0;0;0.3333333333333333;0.6666666666666666;0.0;0.0;0.0;52;0;52;;0
2024-04-23;00f9cc87-c956-4b27-92e2-c96c5774083e;wafeer_pidao;21.0;1;3;1;2;0;0;0;0.3333333333333333;0.6666666666666666;0.0;0.0;0.0;52;0;52;;0
2024-03-01;012bc897-e45c-4e6a-a742-7e00fa2e59e5;tujmon;25.0;1;2;1;1;0;0;0;0.5;0.5;0.0;0.0;0.0;51;0;51;;0
2024-03-03;012bc897-e45c-4e6a-a742-7e00fa2e59e5;tujmon;27.0;1;2;1;1;0;0;0;0.5;0.5;0.0;0.0;0.0;51;0;51;;0
2024-03-16;014491f5-caa3-4122-be69-a31411ad4bd7;rickrickyy;8.0;4;5;1;4;0;0;0;0.2;0.8;0.0;0.0;0.0;54;0;54;3.6666666666666665;0
2024-04-02;014491f5-caa3-4122-be69-a31411ad4bd7;rickrickyy;25.0;1;1;0;1;0;0;0;0.0;1.0;0.0;0.0;0.0;1;0;1;;0
2024-03-01;014b7774-561a-4a58-93d7-070667df90fb;alecottta;24.0;2;28;2;26;0;0;0;0.07142857142857142;0.9285714285714286;0.0;0.0;0.0;126;0;126;1.0;0
2024-03-04;014b7774-561a-4a58-93d7-070667df90fb;alecottta;27.0;2;28;2;26;0;0;0;0.07142857142857142;0.9285714285714286;0.0;0.0;0.0;126;0;126;1.0;0
2024-04-06;015e35f3-70d3-43f3-895d-cdea386118d7;lktlucas;10.0;5;15;1;14;0;0;0;0.06666666666666667;0.9333333333333333;0.0;0.0;0.0;64;0;64;3.5;0
2024-04-16;015e35f3-70d3-43f3-895d-cdea386118d7;lktlucas;20.0;3;12;1;11;0;0;0;0.08333333333333333;0.9166666666666666;0.0;0.0;0.0;61;0;61;4.5;0
2024-04-20;01cada67-8f31-475b-8b34-344d953d739a;manumaciel_;5.0;1;2;1;1;0;0;0;0.5;0.5;0.0;0.0;0.0;51;0;51;;0
2024-04-21;01cada67-8f31-475b-8b34-344d953d739a;manumaciel_;6.0;1;2;1;1;0;0;0;0.5;0.5;0.0;0.0;0.0;51;0;51;;0
2024-03-02;01f2e6ea-4fc4-4eb3-94aa-3f36109a9787;lunartinho;1.0;3;7;2;5;0;0;0;0.2857142857142857;0.7142857142857143;0.0;0.0;0.0;105;0;105;2.0;1
2024-04-05;01f2e6ea-4fc4-4eb3-94aa-3f36109a9787;lunartinho;24.0;1;2;0;2;0;0;0;0.0;1.0;0.0;0.0;0.0;2;0;2;;1
2024-03-01;01f3a765-a092-4999-be4b-98fc5404653b;gardienbr;28.0;1;1;0;1;0;0;0;0.0;1.0;0.0;0.0;0.0;1;0;1;;0
2024-03-02;01f3a765-a092-4999-be4b-98fc5404653b;gardienbr;29.0;1;1;0;1;0;0;0;0.0;1.0;0.0;0.0;0.0;1;0;1;;0
2024-03-02;025f30ce-4b1b-429f-b92b-5b3f7003699f;g4g4l1l3u;26.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;0
2024-03-05;025f30ce-4b1b-429f-b92b-5b3f7003699f;g4g4l1l3u;29.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;0
2024-03-21;0262b6a5-db4c-49ba-b139-86fc3cb6278f;thicosfer;15.0;1;1;1;0;0;0;0;1.0;0.0;0.0;0.0;0.0;50;0;50;;0
